Record ID,First Name,Last Name,First Closed Order ID,ID of first engagement,Email,Phone Number,Contact owner,Last Activity Date,Lead Status,Marketing contact status,Create Date,Contact unworked
1.02033E+11,Mayleen,Clark,,,mayleen_clark1771977326@jiman.org,(+44) 5126 2205,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,,,,,harvey_jackson1123990488+103@naiker.biz,(+353) 7043 6805,,,,Non-marketing contact,2/25/2025 7:58,true
1.0202E+11,Maxwell,Khan,,,maxwell_khan1379394319@grannar.com,(+353) 2428 7561,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Joseph,Price,,,joseph_price1346373740@sveldo.biz,(+353) 6186 1236,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Rosalie,Gordon,,,rosalie_gordon1465096020@mafthy.com,(+44) 5746 8755,,,,Non-marketing contact,2/25/2025 7:58,true
1.01983E+11,Wade,Hamilton,,,wade_hamilton1831139772@qater.org,(+44) 3774 4502,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Harvey,Pearson,,,harvey_pearson1222727439+102@twace.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Mason,Dwyer,,,mason_dwyer1223197256@grannar.com,(+44) 4567 6533,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,,,,,denis_amstead1787356310+103@acrit.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.0202E+11,,,,,owen_wigley177952980+106@extex.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Rick,Bowen,,,rick_bowen410339397@bungar.biz,(+353) 7418 7058,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,,,,,julius_corbett117840293+105@jiman.org,(+44) 6285 0874,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,Tyson,Simmons,,,tyson_simmons319177264@dionrab.com,(+353) 3652 8076,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Wade,Webster,,,wade_webster1837795819@supunk.biz,(+44) 6215 8883,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,Piper,Rowe,,,piper_rowe1513202848@bauros.biz,(+353) 6268 8656,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Tyson,Flack,,,tyson_flack2126031573@acrit.org,(+353) 6246 1365,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Bryon,James,,,bryon_james964377164+103@gompie.com,(+353) 2407 1135,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Owen,Wigley,,,owen_wigley177952980+102@extex.org,(+353) 8027 1340,,,,Non-marketing contact,2/25/2025 7:58,true
1.0202E+11,Ryan,Ellis,,,ryan_ellis365731606@twipet.com,(+44) 7068 1768,,,,Non-marketing contact,2/25/2025 7:58,true
1.0202E+11,George,Radcliffe,,,george_radcliffe235655210+104@nanoff.biz,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Owen,Wigley,,,owen_wigley177952980+105@extex.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Brad,Casey,,,brad_casey91675552@extex.org,(+44) 7364 5886,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,eduardo_glynn1811301568@tonsy.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02034E+11,Clint,Yard,,,clint_yard287681084+102@iatim.tech,(+44) 2042 3631,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,,,,,alan_warner22954315+103@fuliss.net,(+44) 2602 8217,,,,Non-marketing contact,2/25/2025 7:58,true
1.01982E+11,Russel,Wade,,,russel_wade430399594@gmail.com,(+353) 1442 0851,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,brad_casey91675552+101@extex.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,,,,,rocco_palmer160419466+103@infotech44.tech,,,,,Non-marketing contact,2/25/2025 7:58,true
1.0202E+11,Nicholas,Gallacher,,,nicholas_gallacher356845223@ovock.tech,(+353) 5244 5706,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,brad_turner714061428@bretoux.com,(+44) 1232 4125,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,george_radcliffe235655210+103@nanoff.biz,,,,,Non-marketing contact,2/25/2025 7:58,true
1.0203E+11,Harvey,Jackson,,,harvey_jackson1123990488+101@naiker.biz,(+353) 7043 6805,,,,Non-marketing contact,2/25/2025 7:58,true
1.02023E+11,,,,,leroy_dwyer505528803+102@brety.org,(+353) 4788350,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,eduardo_quinn1602340966+105@famism.biz,(+44) 6608 1771,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Rosemary,Dixon,,,rosemary_dixon1137539590@bretoux.com,(+44) 4168 0162,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Mason,Olson,,,mason_olson2076936757@hourpy.biz,(+44) 2318 8441,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,,,,,leroy_dwyer505528803+104@brety.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,jack_nobbs214667606+101@supunk.biz,(+44) 1043 5603,,,,Non-marketing contact,2/25/2025 7:58,true
1.02032E+11,Kurt,May,,,kurt_may1371640774+103@corti.com,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,,,,,julian_farrow1141858439+104@gembat.biz,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,Nate,Roth,,,nate_roth902590743+102@liret.org,(+353) 8078 3861,,,,Non-marketing contact,2/25/2025 7:58,true
1.01986E+11,Willow,Jones,,,willow_jones1961334962@nanoff.biz,(+353) 7558 8876,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Julian,Bell,,,julian_bell2037709199@bauros.biz,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Erick,Holt,,,erick_holt2014841980@ovock.tech,(+353) 1163 6285,,,,Non-marketing contact,2/25/2025 7:58,true
1.02032E+11,Rocco,Rycroft,,,rocco_rycroft1713438217@womeona.net,(+44) 3427 4387,,,,Non-marketing contact,2/25/2025 7:58,true
1.02032E+11,,,,,henry_parker936902021+101@fuliss.net,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,,,,,michael_veale472491137@gembat.biz,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,rocco_palmer160419466+104@infotech44.tech,(+44) 8134 0522,,,,Non-marketing contact,2/25/2025 7:58,true
1.02023E+11,Nick,Pratt,,,nick_pratt197282576@acrit.org,(+44) 2550 3402,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,Ramon,Preston,,,ramon_preston2096761104+103@sheye.org,(+353) 3081 5655,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Ryan,Welsch,,,ryan_welsch107397896+103@famism.biz,(+44) 7786 3560,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Percy,John,,,percy_john125667064@bretoux.com,(+44) 1588 0350,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,,,,,erick_holt2014841980+101@ovock.tech,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Ramon,Price,,,ramon_price517963429@atink.com,(+44) 3855 8820,,,,Non-marketing contact,2/25/2025 7:58,true
1.0203E+11,Rick,Farrell,,,rick_farrell439374616@nickia.com,(+353) 6460 7708,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Rick,Chapman,,,rick_chapman16380681@twace.org,(+44) 3188 0013,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,,,,,bart_lyon420184376+101@acrit.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Tyson,Kelly,,,tyson_kelly212146485@eirey.tech,(+44) 8816 7283,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Bart,Lyon,,,bart_lyon420184376+106@acrit.org,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,Ronald,Nurton,,,ronald_nurton1565615352@sheye.org,(+44) 6458 1011,,,,Non-marketing contact,2/25/2025 7:58,true
1.0202E+11,Julian,Leigh,,,julian_leigh1452026228@vetan.org,(+353) 3707 2413,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,,,,,george_radcliffe235655210+101@nanoff.biz,,,,,Non-marketing contact,2/25/2025 7:58,true
1.02022E+11,Russel,Edmonds,,,russel_edmonds1258309943@hourpy.biz,(+44) 6877 3376,,,,Non-marketing contact,2/25/2025 7:58,true
1.02021E+11,Hank,Roberts,,,hank_roberts1808907109+103@twipet.com,(+44) 6552 2121,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Rick,Bowen,,,rick_bowen2135663613@nanoff.biz,(+353) 3044 3744,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Ronald,Attwood,,,ronald_attwood341534588@tonsy.org,(+44) 2053 6655,,,,Non-marketing contact,2/25/2025 7:58,true
1.0202E+11,Noemi,Moss,,,noemi_moss653241430@womeona.net,(+44) 6251 0140,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Noah,Oswald,,,noah_oswald1491676487@twipet.com,(+44) 6718 6412,,,,Non-marketing contact,2/25/2025 7:58,true
1.01983E+11,,,,,julian_farrow1141858439+101@gembat.biz,(+353) 6726 5335,,,,Non-marketing contact,2/25/2025 7:58,true
1.02033E+11,Bart,Lyon,,,bart_lyon420184376+105@acrit.org,(+353) 2758 0538,,,,Non-marketing contact,2/25/2025 7:58,true
1.02032E+11,Regina,Blackwall,,,regina_blackwall1287455669@vetan.org,(+353) 6245 1643,,,,Non-marketing contact,2/25/2025 7:58,true
1.01982E+11,Owen,Wright,,,owen_wright824379228@womeona.net,(+44) 1205 4584,,,,Non-marketing contact,2/25/2025 7:58,true
